temp,humi,mq135,mq7,pm2.5,uv_index
"{'ts': 1689515987580, 'value': '28.3'}","{'ts': 1689515987580, 'value': '50.0'}","{'ts': 1689515987580, 'value': '0.2721'}","{'ts': 1689515987580, 'value': '8.7591'}","{'ts': 1689515987580, 'value': '0.0797'}","{'ts': 1689515987580, 'value': '10.1074'}"
"{'ts': 1689515676934, 'value': '28.3'}","{'ts': 1689515676934, 'value': '50.0'}","{'ts': 1689515676934, 'value': '0.2907'}","{'ts': 1689515676934, 'value': '8.7591'}","{'ts': 1689515676934, 'value': '0.0856'}","{'ts': 1689515676934, 'value': '8.3984'}"
"{'ts': 1689515367273, 'value': '28.3'}","{'ts': 1689515367273, 'value': '51.0'}","{'ts': 1689515367273, 'value': '0.2797'}","{'ts': 1689515367273, 'value': '8.8846'}","{'ts': 1689515367273, 'value': '0.0865'}","{'ts': 1689515367273, 'value': '7.3242'}"
"{'ts': 1689515060439, 'value': '28.8'}","{'ts': 1689515060439, 'value': '51.0'}","{'ts': 1689515060439, 'value': '0.2765'}","{'ts': 1689515060439, 'value': '8.8846'}","{'ts': 1689515060439, 'value': '0.0865'}","{'ts': 1689515060439, 'value': '17.7246'}"
"{'ts': 1689514750838, 'value': '28.8'}","{'ts': 1689514750838, 'value': '51.0'}","{'ts': 1689514750838, 'value': '0.2858'}","{'ts': 1689514750838, 'value': '9.0111'}","{'ts': 1689514750838, 'value': '0.0856'}","{'ts': 1689514750838, 'value': '3.6133'}"
"{'ts': 1689514443982, 'value': '28.8'}","{'ts': 1689514443982, 'value': '51.0'}","{'ts': 1689514443982, 'value': '0.6818'}","{'ts': 1689514443982, 'value': '8.8846'}","{'ts': 1689514443982, 'value': '0.0865'}","{'ts': 1689514443982, 'value': '3.3691'}"
"{'ts': 1689514137035, 'value': '28.3'}","{'ts': 1689514137035, 'value': '51.0'}","{'ts': 1689514137035, 'value': '0.3084'}","{'ts': 1689514137035, 'value': '8.8846'}","{'ts': 1689514137035, 'value': '0.0747'}","{'ts': 1689514137035, 'value': '0.4883'}"
"{'ts': 1689513830006, 'value': '28.8'}","{'ts': 1689513830006, 'value': '51.0'}","{'ts': 1689513830006, 'value': '0.2858'}","{'ts': 1689513830006, 'value': '8.7591'}","{'ts': 1689513830006, 'value': '0.0865'}","{'ts': 1689513830006, 'value': '17.2852'}"
"{'ts': 1689513520415, 'value': '28.8'}","{'ts': 1689513520415, 'value': '52.0'}","{'ts': 1689513520415, 'value': '0.2749'}","{'ts': 1689513520415, 'value': '8.7591'}","{'ts': 1689513520415, 'value': '0.0848'}","{'ts': 1689513520415, 'value': '1.5137'}"
"{'ts': 1689513213532, 'value': '28.8'}","{'ts': 1689513213532, 'value': '52.0'}","{'ts': 1689513213532, 'value': '0.2749'}","{'ts': 1689513213532, 'value': '9.0111'}","{'ts': 1689513213532, 'value': '0.042'}","{'ts': 1689513213532, 'value': '17.4316'}"
"{'ts': 1689512903871, 'value': '28.7'}","{'ts': 1689512903871, 'value': '52.0'}","{'ts': 1689512903871, 'value': '0.2848'}","{'ts': 1689512903871, 'value': '8.8846'}","{'ts': 1689512903871, 'value': '0.0856'}","{'ts': 1689512903871, 'value': '3.8086'}"
"{'ts': 1689512594243, 'value': '28.8'}","{'ts': 1689512594243, 'value': '52.0'}","{'ts': 1689512594243, 'value': '0.2749'}","{'ts': 1689512594243, 'value': '8.8846'}","{'ts': 1689512594243, 'value': '0.0856'}","{'ts': 1689512594243, 'value': '11.6211'}"
"{'ts': 1689512284553, 'value': '28.3'}","{'ts': 1689512284553, 'value': '53.0'}","{'ts': 1689512284553, 'value': '0.2586'}","{'ts': 1689512284553, 'value': '9.0111'}","{'ts': 1689512284553, 'value': '0.0755'}","{'ts': 1689512284553, 'value': '14.4531'}"
"{'ts': 1689511974907, 'value': '28.3'}","{'ts': 1689511974907, 'value': '53.0'}","{'ts': 1689511974907, 'value': '0.2765'}","{'ts': 1689511974907, 'value': '9.1384'}","{'ts': 1689511974907, 'value': '0.0856'}","{'ts': 1689511974907, 'value': '1.9531'}"
"{'ts': 1689511667777, 'value': '27.9'}","{'ts': 1689511667777, 'value': '56.0'}","{'ts': 1689511667777, 'value': '0.2744'}","{'ts': 1689511667777, 'value': '9.2666'}","{'ts': 1689511667777, 'value': '0.0856'}","{'ts': 1689511667777, 'value': '0.0'}"
"{'ts': 1689511360929, 'value': '27.9'}","{'ts': 1689511360929, 'value': '57.0'}","{'ts': 1689511360929, 'value': '0.6891'}","{'ts': 1689511360929, 'value': '8.7591'}","{'ts': 1689511360929, 'value': '0.0856'}","{'ts': 1689511360929, 'value': '5.2246'}"
"{'ts': 1689511317102, 'value': '27.9'}","{'ts': 1689511317102, 'value': '56.0'}","{'ts': 1689511317102, 'value': '0.8925'}","{'ts': 1689511317102, 'value': '8.8755'}","{'ts': 1689511317102, 'value': '0.0856'}","{'ts': 1689511317102, 'value': '8.9355'}"
"{'ts': 1689509105307, 'value': '27.9'}","{'ts': 1689509105307, 'value': '85.0'}","{'ts': 1689509105307, 'value': '0.3162'}","{'ts': 1689509105307, 'value': '12.8361'}","{'ts': 1689509105307, 'value': '0.0806'}","{'ts': 1689509105307, 'value': '0.2441'}"
"{'ts': 1689508851056, 'value': '27.9'}","{'ts': 1689508851056, 'value': '86.0'}","{'ts': 1689508851056, 'value': '0.3143'}","{'ts': 1689508851056, 'value': '12.6585'}","{'ts': 1689508851056, 'value': '0.0806'}","{'ts': 1689508851056, 'value': '12.3535'}"
"{'ts': 1689508600117, 'value': '28.8'}","{'ts': 1689508600117, 'value': '84.0'}","{'ts': 1689508600117, 'value': '0.3802'}","{'ts': 1689508600117, 'value': '12.4821'}","{'ts': 1689508600117, 'value': '0.0789'}","{'ts': 1689508600117, 'value': '4.2969'}"
"{'ts': 1689508348639, 'value': '28.3'}","{'ts': 1689508348639, 'value': '85.0'}","{'ts': 1689508348639, 'value': '0.3417'}","{'ts': 1689508348639, 'value': '11.7889'}","{'ts': 1689508348639, 'value': '0.0764'}","{'ts': 1689508348639, 'value': '3.125'}"
"{'ts': 1689508096461, 'value': '28.3'}","{'ts': 1689508096461, 'value': '85.0'}","{'ts': 1689508096461, 'value': '0.3319'}","{'ts': 1689508096461, 'value': '11.4496'}","{'ts': 1689508096461, 'value': '0.0814'}","{'ts': 1689508096461, 'value': '0.0'}"
"{'ts': 1689507844408, 'value': '28.3'}","{'ts': 1689507844408, 'value': '82.0'}","{'ts': 1689507844408, 'value': '0.348'}","{'ts': 1689507844408, 'value': '11.9603'}","{'ts': 1689507844408, 'value': '0.0814'}","{'ts': 1689507844408, 'value': '0.0'}"
"{'ts': 1689507593483, 'value': '28.3'}","{'ts': 1689507593483, 'value': '81.0'}","{'ts': 1689507593483, 'value': '0.4979'}","{'ts': 1689507593483, 'value': '8.7591'}","{'ts': 1689507593483, 'value': '0.0814'}","{'ts': 1689507593483, 'value': '0.0'}"
"{'ts': 1689507216204, 'value': '30.2'}","{'ts': 1689507216204, 'value': '50.0'}","{'ts': 1689507216204, 'value': '0.348'}","{'ts': 1689507216204, 'value': '6.726'}","{'ts': 1689507216204, 'value': '0.0781'}","{'ts': 1689507216204, 'value': '28.6133'}"
"{'ts': 1689506962605, 'value': '30.3'}","{'ts': 1689506962605, 'value': '50.0'}","{'ts': 1689506962605, 'value': '0.3474'}","{'ts': 1689506962605, 'value': '6.6073'}","{'ts': 1689506962605, 'value': '0.0831'}","{'ts': 1689506962605, 'value': '15.2832'}"
"{'ts': 1689506711720, 'value': '30.3'}","{'ts': 1689506711720, 'value': '51.0'}","{'ts': 1689506711720, 'value': '0.3559'}","{'ts': 1689506711720, 'value': '6.8457'}","{'ts': 1689506711720, 'value': '0.0814'}","{'ts': 1689506711720, 'value': '25.8789'}"
"{'ts': 1689506460752, 'value': '30.3'}","{'ts': 1689506460752, 'value': '51.0'}","{'ts': 1689506460752, 'value': '0.3149'}","{'ts': 1689506460752, 'value': '6.4895'}","{'ts': 1689506460752, 'value': '0.0848'}","{'ts': 1689506460752, 'value': '18.1641'}"
"{'ts': 1689506209880, 'value': '29.8'}","{'ts': 1689506209880, 'value': '51.0'}","{'ts': 1689506209880, 'value': '0.2985'}","{'ts': 1689506209880, 'value': '6.1421'}","{'ts': 1689506209880, 'value': '0.0873'}","{'ts': 1689506209880, 'value': '10.6445'}"
"{'ts': 1689505956217, 'value': '29.8'}","{'ts': 1689505956217, 'value': '51.0'}","{'ts': 1689505956217, 'value': '0.328'}","{'ts': 1689505956217, 'value': '6.726'}","{'ts': 1689505956217, 'value': '0.0839'}","{'ts': 1689505956217, 'value': '27.0508'}"
"{'ts': 1689505702562, 'value': '30.3'}","{'ts': 1689505702562, 'value': '52.0'}","{'ts': 1689505702562, 'value': '0.3434'}","{'ts': 1689505702562, 'value': '7.5844'}","{'ts': 1689505702562, 'value': '0.0747'}","{'ts': 1689505702562, 'value': '27.0508'}"
"{'ts': 1689505451708, 'value': '30.3'}","{'ts': 1689505451708, 'value': '52.0'}","{'ts': 1689505451708, 'value': '0.3867'}","{'ts': 1689505451708, 'value': '7.9671'}","{'ts': 1689505451708, 'value': '0.0781'}","{'ts': 1689505451708, 'value': '10.9375'}"
